الاسم,الأجر الشامل,الأجر التأميني,حصة النقابة (استمارة 2),حصة العامل (استمارة 2),حصة النقابة (المخصوم فعلياً),حصة العامل (المخصوم فعلياً)
# بيانات تمثيلية مرجعية تُستخدم عند غياب الملف الرسمي — استبدل هذا الملف باستمارة 2 تأمينات الحقيقية عند التشغيل الفعلي,,,,,,
حنان عاطف محمود,8286.4,8100,414.32,414.32,124.3,145.01
هشام مصطفى محمد,4058.2,3610,202.91,202.91,119.72,129.86
محمود عبد الرحيم علي,4216.4,4050,210.82,210.82,109.63,120.17
أميرة سعد الدين إبراهيم,4374.6,3810,218.73,218.73,98.43,109.36
خالد محمد عبد العزيز,4532.8,4260,226.64,226.64,86.12,97.46
سارة أحمد حسنين,4691,3990,234.55,234.55,72.71,84.44
عمرو حسين عبد الله,4849.2,4460,242.46,242.46,145.48,157.6
نورهان محمد السيد,5007.4,4160,250.37,250.37,132.7,145.21
إيهاب سمير فؤاد,5005.6,4510,250.28,250.28,115.13,127.64
منال حمدي عبد الفتاح,5163.8,5010,258.19,258.19,100.69,113.6
طارق يوسف عاشور,5322,4680,266.1,266.1,85.15,98.46
رنا أشرف البدوي,5480.2,5210,274.01,274.01,167.15,180.85
ولاء مصطفى كمال,5638.4,4850,281.92,281.92,152.24,166.33
حاتم عبد الستار إبراهيم,5796.6,5390,289.83,289.83,136.22,150.71
دينا حسن عبد الرحمن,5954.8,5000,297.74,297.74,119.1,133.98
شريف فتحي عبد الحليم,6113,5560,305.65,305.65,100.86,116.15
نهى سامي عبد المنعم,6111.2,5010,305.56,305.56,189.45,204.73
كريم عادل رزق,6269.4,5580,313.47,313.47,172.41,188.08
هبة محمد فؤاد,6427.6,6170,321.38,321.38,154.26,170.33
عادل إبراهيم سليمان,6585.8,5730,329.29,329.29,135.01,151.47
سحر عبد الله أحمد,6744,6340,337.2,337.2,114.65,131.51
ماجد محمد عثمان,6902.2,5870,345.11,345.11,217.42,234.67
رانيا حسين محمد,7060.4,6500,353.02,353.02,197.69,215.34
أسامة فؤاد عبد العظيم,7058.6,5860,352.93,352.93,172.94,190.58
هالة عبد الرحمن سيد,7216.8,6500,360.84,360.84,151.55,169.59
باسل جمال الدين أحمد,7375,7150,368.75,368.75,129.06,147.5
منى رجب عبد الحميد,7533.2,6630,376.66,376.66,241.06,259.9
طه عبد النبي حسن,7691.4,7310,384.57,384.57,219.2,238.43
غادة محمود عبد المجيد,7849.6,6750,392.48,392.48,196.24,215.86
حسام السيد عبد الرازق,8007.8,7450,400.39,400.39,172.17,192.19
أمل عبد الرحيم محمد,8166,6860,408.3,408.3,146.99,167.4
وليد عبد الحميد عمر,8164.2,7430,408.21,408.21,265.34,285.75
إيمان محمود حسن,8322.4,6820,416.12,416.12,241.35,262.16
شيماء عبد العزيز محمد,8480.6,7550,424.03,424.03,216.26,237.46
ياسر عبد القادر النجار,8638.8,8290,431.94,431.94,190.05,211.65
أحمد رضوان عبد الغني,8797,7650,439.85,439.85,162.74,184.74
فاطمة الزهراء محمد,8955.2,8420,447.76,447.76,134.33,156.72
سعاد حسين إبراهيم,9113.4,7750,455.67,455.67,268.85,291.63
رباب محمد حسين,9111.6,8380,455.58,455.58,236.9,259.68
زكريا عبد الوهاب علي,9269.8,7690,463.49,463.49,208.57,231.74
يسرا عبد الفتاح حسن,9428,8490,471.4,471.4,179.13,202.7
مدحت رءوف عبد الله,4086.2,3960,204.31,204.31,63.34,73.55
سامية عبد الرؤوف أحمد,4244.4,3740,212.22,212.22,127.33,137.94
عاطف محمد عوض الله,4402.6,4180,220.13,220.13,116.67,127.68
أحمد شعبان عبد الرحيم,4560.8,3920,228.04,228.04,104.9,116.3
رفعت جرجس فهمي,4719,4390,235.95,235.95,92.02,103.82
نبيل صبحي عبد المسيح,4717.2,3960,235.86,235.86,75.48,87.27
سوزان فؤاد حبيب,4875.4,4440,243.77,243.77,148.7,160.89
ميرفت عز الدين حسن,5033.6,4130,251.68,251.68,135.91,148.49
بهاء الدين محمد أحمد,5191.8,4620,259.59,259.59,122.01,134.99
نجلاء عبد المجيد سالم,5350,5140,267.5,267.5,107,120.38
فؤاد عبد الشافي علي,5508.2,4790,275.41,275.41,90.89,104.66
إبراهيم حجازي عبد الرحمن,5666.4,5330,283.32,283.32,175.66,189.82
حنان عبد الله محمد,5664.6,4810,283.23,283.23,155.78,169.94
صابر عبد المنعم حسن,5822.8,5360,291.14,291.14,139.75,154.3
رشا أحمد عبد الرازق,5981,4960,299.05,299.05,122.61,137.56
عبد الله محمود عبد الله,6139.2,5530,306.96,306.96,104.37,119.71
سوسن محمد عبد الحي,6297.4,6110,314.87,314.87,198.37,214.11
ضياء الدين حسن علي,6455.6,5680,322.78,322.78,180.76,196.9
فايزة عبد الرحمن أحمد,6613.8,6280,330.69,330.69,162.04,178.57
مكرم لبيب عبد الملك,6772,5820,338.6,338.6,142.21,159.14
أماني سمير عبد العال,6770.2,6300,338.51,338.51,118.48,135.4
جمال الدين حسن إبراهيم,6928.4,5820,346.42,346.42,221.71,239.03
وفاء محمد عبد المنصف,7086.6,6450,354.33,354.33,201.97,219.68
رامي عصمت عبد الرحمن,7244.8,5940,362.24,362.24,181.12,199.23
لمياء عبد الله حسن,7403,6590,370.15,370.15,159.16,177.67
عصام عبد الهادي محمد,7561.2,7260,378.06,378.06,136.1,155
ثناء محمود عبد الجليل,7719.4,6720,385.97,385.97,250.88,270.18
مجدي عبد الرؤوف أحمد,7717.6,7250,385.88,385.88,223.81,243.1
إيناس حسن عبد العال,7875.8,6690,393.79,393.79,200.83,220.52
سيد عبد المقصود علي,8034,7390,401.7,401.7,176.75,196.83
بشرى محمد عبد الغفار,8192.2,6800,409.61,409.61,151.56,172.04
عبد الرازق حسن محمد,8350.4,7520,417.52,417.52,125.26,146.13
سهير عبد الفتاح أحمد,8508.6,8250,425.43,425.43,251,272.28
ناصر عبد الحميد حسين,8666.8,7630,433.34,433.34,225.34,247
هند محمد عبد السلام,8825,8380,441.25,441.25,198.56,220.62
